player_name,position,gw,new_photo
David de Gea,GK,25,51940
Stuart Dallas,DEF,25,87873
Harry Maguire,DEF,25,95658
Luke Ayling,DEF,25,66588
Mason Mount,MID,25,184341
Ademola Lookman,MID,25,219352
Jack Harrison,MID,25,221399
Rodrigo Hernandez,MID,25,220566
Ollie Watkins,FWD,25,178301
Timo Werner,FWD,25,165153
Roberto Firmino,FWD,25,92217
David de Gea,GK,24,51940
Harry Maguire,DEF,24,95658
Luke Shaw,DEF,24,106760
Rúben Santos Gato Alves Dias,DEF,24,171314
Jack Grealish,MID,24,114283
Riyad Mahrez,MID,24,103025
Bernardo Mota Veiga de Carvalho e Silva,MID,24,165809
Mohamed Salah,MID,24,118748
Ollie Watkins,FWD,24,178301
Roberto Firmino,FWD,24,92217
Patrick Bamford,FWD,24,106617
Edouard Mendy,GK,23,228286
Benjamin Chilwell,DEF,23,172850
Matt Targett,DEF,23,169359
Aaron Cresswell,DEF,23,55459
Jack Grealish,MID,23,114283
Leandro Trossard,MID,23,116216
Jack Harrison,MID,23,221399
James Maddison,MID,23,172780
Timo Werner,FWD,23,165153
Patrick Bamford,FWD,23,106617
Ollie Watkins,FWD,23,178301
Ederson Santana de Moraes,GK,22,121160
João Pedro Cavaco Cancelo,DEF,22,121145
John Stones,DEF,22,97299
Aaron Cresswell,DEF,22,55459
Ademola Lookman,MID,22,219352
Wilfried Zaha,MID,22,82403
James Maddison,MID,22,172780
Jack Grealish,MID,22,114283
Ollie Watkins,FWD,22,178301
Callum Wilson,FWD,22,75115
Dominic Calvert-Lewin,FWD,22,177815
Ederson Santana de Moraes,GK,21,121160
Rúben Santos Gato Alves Dias,DEF,21,171314
Yerry Mina,DEF,21,164511
Andrew Robertson,DEF,21,122798
Bruno Miguel Borges Fernandes,MID,21,141746
Jack Grealish,MID,21,114283
Wilfried Zaha,MID,21,82403
Ademola Lookman,MID,21,219352
Timo Werner,FWD,21,165153
Dominic Calvert-Lewin,FWD,21,177815
Patrick Bamford,FWD,21,106617
Illan Meslier,GK,20,437495
Luke Ayling,DEF,20,66588
Stuart Dallas,DEF,20,87873
Andrew Robertson,DEF,20,122798
Jack Grealish,MID,20,114283
Bruno Miguel Borges Fernandes,MID,20,141746
Mason Mount,MID,20,184341
Kevin De Bruyne,MID,20,61366
Timo Werner,FWD,20,165153
Tammy Abraham,FWD,20,173879
Patrick Bamford,FWD,20,106617
Bernd Leno,GK,17,80201
Andrew Robertson,DEF,17,122798
Kieran Tierney,DEF,17,192895
Matt Targett,DEF,17,169359
Wilfried Zaha,MID,17,82403
Mohamed Salah,MID,17,118748
Sadio Mané,MID,17,110979
Bruno Miguel Borges Fernandes,MID,17,141746
Timo Werner,FWD,17,165153
Jamie Vardy,FWD,17,101668
Patrick Bamford,FWD,17,106617
Alisson Ramses Becker,GK,16,116535
Andrew Robertson,DEF,16,122798
Joel Matip,DEF,16,60914
Kurt Zouma,DEF,16,103192
Bruno Miguel Borges Fernandes,MID,16,141746
James Ward-Prowse,MID,16,101178
Jack Grealish,MID,16,114283
Marcus Rashford,MID,16,176297
Patrick Bamford,FWD,16,106617
Jamie Vardy,FWD,16,101668
Che Adams,FWD,16,200439
Emiliano Martínez,GK,15,98980
Aaron Cresswell,DEF,15,55459
Andrew Robertson,DEF,15,122798
Ezri Konsa Ngoyo,DEF,15,199798
Mohamed Salah,MID,15,118748
Mateusz Klich,MID,15,72222
Kevin De Bruyne,MID,15,61366
Pedro Lomba Neto,MID,15,247632
Roberto Firmino,FWD,15,92217
Ollie Watkins,FWD,15,178301
Harry Kane,FWD,15,78830
